,date,open,high,low,close,adj_close,volume,adx,adxr,apo,aroon_up,aroon_dn,aroon_osc,bop,cci,cmo,dx,macd,macdsignal,macdhist,macd_ext,macdsignal_ext,macdhist_ext,macd_fix,macdsignal_fix,mfi,minus_di,minus_dm,mom,plus_di,plus_dm,rpo,roc,rocp,rocr,rocr100,rsi,slowk,slowd,fastk,fastd,trix,ult_osc,willr,ad,ad_osc,obv,atr,natr,tr,avg_price,median_price,typical_price,weighted_close_price,ht_domint_cycle_period,ht_dominent_cycle_phase,ht_phasor_inphase,ht_phasor_quadrature,ht_sine,ht_leadsine,ht_trend_mode,beta,corr,linear_reg,linear_reg_angle,linear_reg_intercept,linear_reg_slope,std_dev,time_series_forecast,variance,two_crows,three_inside,three_line_strike,three_outside,advance_block,belt_hold,closing_marubozu,counter_attack,dark_cloud_cover,doji,doji_star,dragonfly_doji,engulfing,evening_doji_star,evening_star,gap_side2_white,gravestone_doji,hammer,hanging_man,harami,harami_cross,high_wave,hikkake_pattern,hikkake_mod,homing_pigeon,in_nect,inverted_hammer,ladder_bottom,long_legged_doji,long_line_candle,marubozu,matching_low,morning_doji_star,morning_star,on_neck,piercing,rickshaw_man,rising_fall_3methods,separating_lines,shooting_star,short_line,spinning_top,stalled_pattern,stick_sandwich,takuri,tasuki_gap,thrusting,tri_star,unique_three_river,upside_gap_two_crows,xside_three_methods,trend
0,2009-05-22 00:00:00,198.528534,199.524521,196.196198,196.946945,196.946945,3433700,,,,,,,-0.47519095953127627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1884667.6651575114,,3433700.0,,,,197.79904950000002,197.86035950000002,197.555888,197.40365225,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1,2009-05-26 00:00:00,196.171173,202.702698,195.19519,202.382385,202.382385,6202700,,,,,,,0.8273333841269284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3788747.398988942,,9636400.0,,,7.507508000000001,199.1128615,198.94894399999998,200.09342433333333,200.6656645,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2,2009-05-27 00:00:00,203.023026,206.136139,202.607605,202.982986,202.982986,6062500,,,,,,,-0.01134748878712138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-983841.6564091123,,15698900.0,,,3.7537539999999865,203.68743899999998,204.371872,203.90891,203.67742900000002,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3,2009-05-28 00:00:00,204.54453999999998,206.016022,202.507507,205.40541100000002,205.40541100000002,5332200,,,,,,,0.24536620194014683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492359.452778171,,21031100.0,,,3.5085149999999885,204.61837,204.2617645,204.64298,204.83358775,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4,2009-05-29 00:00:00,206.26126100000002,208.823822,205.555557,208.823822,208.823822,5291100,,,,,,,0.784073812864005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7783459.452778171,,26322200.0,,,3.418410999999992,207.3661155,207.1896895,207.73440033333335,208.00675575,,,,,,,0,,,,,,,3.9050952024294645,,15.249768540037621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5,2009-06-01 00:00:00,209.57457,215.01501499999998,209.474472,213.4935,213.4935,6638100,,,,,,,0.7073187591902144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10775718.703414869,,32960300.0,,,6.19119299999997,211.88938925,212.24474349999997,212.66099566666665,212.86912174999998,,,,,,,0,0.7065879391837027,,,,,,4.117336117397732,,16.95245670362783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
6,2009-06-02 00:00:00,213.338333,215.19519,211.91191099999998,214.414413,214.414413,5241900,,,,,,,0.3277455251289894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13524528.742860205,,38202200.0,,,3.2832790000000216,213.71496175,213.55355049999997,213.84050466666665,213.98398175,,,,,,,0,0.6711216038798365,,,,,,4.442096133312949,,19.732218057593855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
7,2009-06-03 00:00:00,213.213211,216.446442,212.212219,216.041046,216.041046,7058500,,,,,,,0.6678521655567037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19231428.85499413,,45260700.0,,,4.234222999999986,214.4782295,214.3293305,214.89990233333333,215.18518825,,,,,,,0,0.535433873841871,,,,,,3.931994380656521,,15.460579809514456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
8,2009-06-04 00:00:00,217.86787400000003,220.840836,217.46746800000003,220.360367,220.360367,7268900,,,,,,,0.7388737309418922,,,,,,,,,,,,,,,,,,,,,,,,95.93148843737555,95.24722123500425,,,,,,24429709.15735069,,52529600.0,,,4.7997900000000016,219.13413625,219.154152,219.55622366666668,219.7572595,,,,,,,0,0.5347772868152695,,,,,,3.7383930489729864,,13.97558258860954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
9,2009-06-05 00:00:00,222.75775099999998,223.89389,219.94995099999997,222.382385,222.382385,7354200,,,,,,,-0.09517540712470013,,,,,,,,,,,,,,,,,,,,,,,,94.48861890091466,94.94682213475066,,,,,,26146950.740397528,9514565.427857064,59883800.0,,,3.9439390000000287,222.24599425,221.9219205,222.07540866666668,222.15215275,,,,,,,0,0.5369673980932882,,,,,,3.4522500662641304,,11.918030520020693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
