date,open,high,low,close,adj_close,volume,adx,adxr,apo,aroon_up,aroon_dn,aroon_osc,bop,cci,cmo,dx,macd,macdsignal,macdhist,macd_ext,macdsignal_ext,macdhist_ext,macd_fix,macdsignal_fix,mfi,minus_di,minus_dm,mom,plus_di,plus_dm,rpo,roc,rocp,rocr,rocr100,rsi,slowk,slowd,fastk,fastd,trix,ult_osc,willr,ad,ad_osc,obv,atr,natr,tr,avg_price,median_price,typical_price,weighted_close_price,ht_domint_cycle_period,ht_dominent_cycle_phase,ht_phasor_inphase,ht_phasor_quadrature,ht_sine,ht_leadsine,ht_trend_mode,beta,corr,linear_reg,linear_reg_angle,linear_reg_intercept,linear_reg_slope,std_dev,time_series_forecast,variance,two_crows,three_inside,three_line_strike,three_outside,three_white_soldiers,advance_block,belt_hold,break_away,closing_marubozu,counter_attack,dark_cloud_cover,doji,doji_star,dragonfly_doji,engulfing,evening_doji_star,evening_star,gap_side2_white,gravestone_doji,hammer,hanging_man,harami,harami_cross,high_wave,hikkake_pattern,hikkake_mod,homing_pigeon,identical_three_crows,in_nect,inverted_hammer,ladder_bottom,long_legged_doji,long_line_candle,marubozu,matching_low,morning_doji_star,morning_star,on_neck,piercing,rickshaw_man,separating_lines,shooting_star,short_line,spinning_top,stalled_pattern,stick_sandwich,takuri,tasuki_gap,thrusting,tri_star,unique_three_river,xside_three_methods,trend
2009-05-22 00:00:00,4.43,4.43,4.25,4.26,4.26,8274300,,,,,,,-0.9444444444444455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7354933.333333352,,8274300.0,,,,4.342499999999999,4.34,4.3133333333333335,4.3,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2009-05-26 00:00:00,4.26,4.57,4.23,4.53,4.53,16094300,,,,,,,0.7941176470588253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4952472.549019585,,24368600.0,,,0.33999999999999986,4.397500000000001,4.4,4.443333333333334,4.465,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2009-05-27 00:00:00,4.57,4.8,4.55,4.71,4.71,21512600,,,,,,,0.5599999999999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10976000.549019609,,45881200.0,,,0.2699999999999996,4.6575,4.675,4.6866666666666665,4.6925,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009-05-28 00:00:00,4.75,4.84,4.54,4.7,4.7,18383900,,,,,,,-0.16666666666666619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12201593.88235297,,27497300.0,,,0.2999999999999998,4.7075,4.6899999999999995,4.6933333333333325,4.695,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009-05-29 00:00:00,4.71,4.78,4.38,4.54,4.54,24539700,,,,,,,-0.42499999999999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7293653.882352971,,2957600.0,,,0.40000000000000036,4.6025,4.58,4.566666666666666,4.5600000000000005,,,,,,,0,,,,,,,0.16289874155436734,,0.026535999999996562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2009-06-01 00:00:00,4.69,4.9,4.64,4.73,4.73,26633200,,,,,,,0.15384615384615358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-901176.8868776942,,29590800.0,,,0.3600000000000003,4.74,4.77,4.756666666666667,4.75,,,,,,,0,1.6140985517133462,,,,,,0.08795453370921166,,0.00773600000000485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009-06-02 00:00:00,4.68,4.7,4.55,4.56,4.56,24950700,,,,,,,-0.7999999999999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22525116.88687777,,4640100.0,,,0.1800000000000006,4.6225,4.625,4.603333333333333,4.592499999999999,,,,,,,0,1.2393495913575991,,,,,,0.0808455317257002,,0.0065360000000111995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009-06-03 00:00:00,4.55,4.6,4.34,4.48,4.48,19087100,,,,,,,-0.2692307692307671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21056878.42533921,,-14447000.0,,,0.2599999999999998,4.4925,4.47,4.473333333333334,4.475,,,,,,,0,1.2615945020446309,,,,,,0.09641576634562053,,0.009296000000013294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2009-06-04 00:00:00,4.57,4.74,4.54,4.65,4.65,19728300,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,38.32417582417583,45.47518890863642,,,,,,-19084048.425339166,,5281300.0,,,0.2599999999999998,4.625,4.640000000000001,4.6433333333333335,4.6450000000000005,,,,,,,0,1.3630309281828459,,,,,,0.08795453370925205,,0.0077360000000119555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009-06-05 00:00:00,4.84,4.87,4.61,4.63,4.63,18775200,,,,,,,-0.8076923076923083,,,,,,,,,,,,,,,,,,,,,,,,44.04761904761907,42.37307054471234,,,,,,-34970756.11764692,-12614211.634350857,-13493900.0,,,0.2599999999999998,4.7375,4.74,4.703333333333333,4.6850000000000005,,,,,,,0,1.1193874386273284,,,,,,0.08461678320530246,,0.007160000000013156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
